"FF","SOLICITA","AGENCIA","CODIGO PIS","TERMINAL","PLACAS PIS","FECHA PIS","HORARIO","TIPO Y PESO","CONTENEDOR","PEDIMENTO","CLIENTE","ORIGEN","DESTINO","ASIGNACION DE OPERADOR // STATUS","UNIDAD","FOLIO","VACIO/PATIO","STATUS / VACIO","FECHA DE ENTREGA MERCANCIA","Nº Factura","CCP","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","WOODWARD","716992C","SSA","38AV7C","30/11/2023","5:00","40 HC / 4395 KG","TRLU7524840","23-16-3719-3028086","PANASONIC","MANZANILLO","MONTERREY","PABLO","38AV7C / 10UL5N","1115-1","ALSECONT","ENTREGADO","01/12/2023","S 640","CCP 222","","","","","","","","","","","","","","",""
"","JORGE CRUZ -REAL SHIPPING","RB GROUP","716957C","SSA","95AJ2P","30/11/2023","6:00","40 HC / 7530 KG","MRSU3547301","23-16-3171-3002557","THERMOTEK","MANZANILLO","SILAO","RAMON ","64AK5A / 59UP9N","1116","ALSECONT","ENTREGADO","01/12/2023","S 645","CCP 224","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","GRUPO EI","721533C","SSA","387CG6","30/11/2023","17:00","20 DC / 9565 KG","BEAU2547057","23-16-3772-3004361","GOODYEAR","MANZANILLO","JALISCO","GERMAN - TEJEDA","15AL6J","CTA TERCEROS 1117","IMPALA","ENTREGADO","04/12/2023","S 646","CI","","CANCELADO","","","","","","","","","","","","",""
"","SKYLINE LOGISTIC","CARLOS TORRES","722341","LA JUNTA","30BA6K","01/12/2023","7:00","1 PALLET / 551.860 KG","CARGA SUELTA","23-16-3010-3004126","TAURUS","MANZANILLO","QUERETARO","JOSE","30BA6K","1118","-------","ENTREGADO","04/12/2023","S 647","CCP 225","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - ADRIANA","PEDRO MARTINEZ","4255883","OCUPA","26AR7M","02/12/2023","8 :00","20 CAJAS / 5480 KG","CARGA SUELTA","23-16-3957-3002549","INGERSOLL","MANZANILLO","MONTERREY","MARTIN LOZA","26AR7M","CTA TERCEROS 1119","-------","ENTREGADO","04/12/2023","S 643","CI","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","725025C","SSA","21AX4Y","02/12/2023","11:00","20 DC / 6646 KG / BDE21965515","CAIU6331203","23-16-3708-3001454","ARGO","MANZANILLO","QUERETARO","DANIEL","21AX4Y / 31US5W","1120","IMPALA","ENTREGADO","04/12/2023","S 644","CCP 226","","","","","","","","","","","","","","",""
"","ALAN ARANGO","------------","----------","ACCESSA","30BA6K","05/12/2023","11:00","1 PALLET, 13 BULTOS, 4 CARTONES / 584 KG","CARGA SUELTA","----------------------","YAZAKI","MANZANILLO","SILAO","JOSE","30BA6K","1121","-------","ENTREGADO","06/12/2023","S 649","CCP 227","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","237296F","SSA","64AK5A","06/12/2023","4:00","20 DC / 38115 KG","MSKU2893171/MRKU6782575","23-16-3957-3002447","LAVISA","MANZANILLO","QUERETARO","RAMON","64AK5A / 59UP9N-14UF3Y","1122-2","CIMA ASIPONA","ENTREGADO","07/12/2023","S 650","CCP 229","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","730595C","SSA","21AX4Y","06/12/2023","4:00","20 DC / 9139 KG","BMOU1471671","23-16-3957-3002494","GRUPO FITMOR","MANZANILLO","MEXICO","DANIEL","21AX4Y/31US5W","1123","CIMA ASIPONA","ENTREGADO","07/12/2023","S 651","CCP 230","","","","","","","","","","","","","","",""
"","PRIMO","JOFFROY","239113F","SSA","38AV7C","06/12/2023","13:00","40 HC- 6800 KG /20 DC-21200 KG","HLBU1706070/UETU2832845","23-16-3714-3000674/3714-3000684","PANEL REY","MANZANILLO","MONTERREY","PABLO","38AV7C / 63UM9E-10UL5N","1124-2","SSA EXTERNO","ENTREGADO","07/12/2023","S 652","CCP 228","","","","","","","","","","","","","","",""
"","ALAN ARANGO","------------","----------","ACCESSA","FE9713A","07/12/2023","12:00","3 BULTOS / 54 KG","CARGA SUELTA","----------------------","ARNECOM","MANZANILLO","MONTERREY","JOSE","FE9713A","1125","-------------","ENTREGADO","","S 653","CCP 231","","","","","","","","","","","","","","",""
"","ALAN ARANGO","------------","----------","ACCESSA","92AZ8D","08/12/2023","16:00","2 PALLETS - 47 BULTOS / 550 KG","CARGA SUELTA","----------------------","YAZAKI","MANZANILLO","DURANGO","ANTONIO FRANCO","62AZ8D","CTA TERCEROS 1126","-------------","ENTREGADO","11/12/2023","S 654","CI","","","","","","","","","","","","","","",""
"","ALAN ARANGO","-------------","----------","ACCESSA","30BA6K","08/12/2023","16:00","2 PALLETS - 62 BULTOS / 916 KG","CARGA SUELTA","-----------------------","YAZAKI","MANZANILLO","JUAREZ","LUIS ALBERTO","30BA6K","1127","-------------","ENTREGADO","11/12/2023","S 655","CCP 232","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","F239234","SSA","44AX9X","08/12/2023","4:00","20 DC / 36905 KG","MRKU9860563/MRKU8192496","23-16-3957-3002448","LAVISA","MANZANILLO","QUERETARO","PABLO","38AV7C / 59UP9N, 14UF3Y","1128-2","CIMA ASIPONA","ENTREGADO","11/12/2023","S 656","CCP 233","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","WOODWARD","3445866","CONTECON","21AX4Y","08/12/2023","14:00","40 DC / 5222.070 KG","TCLU4237792","23-16-3719-3028081","PANASONIC","MANZANILLO","MONTERREY","DANIEL","21AX4Y / 16UP6N","1129","CONTECON","ENTREGADO","11/12/2023","S 657","CCP 234","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","3448999","CONTECON","64AK5A","11/12/2023","7:00","20 DC / 37440 KG","DRYU2810153/TGBU2072622","23-16-3957-3002533","LAVISA","MANZANILLO","QUERETARO","RAMON","64AK5A / 31US5W, 10UL5N","1130-2"," CIMA ASIPONA ","ENTREGADO","12/12/2023","S 658","CCP 235","","","","","","","","","","","","","","",""
"","ALAN ARANGO","-------------","----------","ACCESSA","FE9713A","11/12/2023","12:00","1 PALLET - 16 BULTOS / 274 KG","CARGA SUELTA","-----------------------","ARNECOM","MANZANILLO","TUXTLA","JOSE ","FE9713A","1131","--------","ENTREGADO","12/12/2023","S 659","CCP 236","","","","","","","","","","","","","","",""
"","REAL SHIPPING - JORGE CRUZ","RB GROUP","746746C","SSA","38AV7C","13/12/2023","10:00","40 HC / 7530 KG","MRKU6147190","23-16-3171-3002713","THERMOTEK","MANZANILLO","MONTERREY","PABLO","38AV7C","1132","SSA TERMINAL","ENTREGADO","14/12/2023","S 664","CCP 237","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","4271655","OCUPA","64AK5A","13/12/2023","10.00","20 DC / 1398 KG","TGBU3708581","23-16-3708-3001503","ARGO","MANZANILLO","QUERETARO","RAMON","64AK5A","1133","IMPALA","ENTREGADO","14/12/2023","S 660","CCP 238","","","","","","","","","","","","","","",""
"","ALAN ARANGO","--------","----","BOD. HOLDING","24AL7X","14/12/2023","----","16 PALLETS / 8 TON / 165999,166000","CARGA SUELTA","REF: S00012600","YAZAKI","LAZARO C","CD OBREGON","ROBERTO ALFARO","24AL7X","CTA TERCEROS 01","-----","ENTREGADO","18/12/2023","S 666","CI","","","","","","","","","","","","","","",""
"","ALAN ARANGO","--------","----","BOD. HOLDING","11AZ7X","14/12/2023","----","19 PALLETS / 10 TON / 165997,165998,166538","CARGA SUELTA","REF. S00012603","YAZAKI","LAZARO C","CD OBREGON","IVAN GUARDIAN","11AZ7X","CTA TERCEROS 02","------","ENTREGADO","18/12/2023","S 665","CI","","","","","","","","","","","","","","",""
"","DAYSI REYES","CORPORACION ADUANAL ROBLES","3456035","CONTECON","21AX4Y","15/12/2023","10:00","40 HC / 5040 KG","CMAU9539831","23-16-1742-3003896","DAYSI REYES","MANZANILLO","QUIROGA , MICH","DANIEL","21AX4Y / 63UM9E","1134","CONTECON","ENTREGADO","17/12/2023","S 661","CCP 239","","","","","","","","","","","","","","",""
"","SKYLINE LOGISTIC","CARLOS TORRES","8693429","SSA","92AZ8D","15/12/2023","12:00","5 BULTOS / 2123.200  KG / 2 SELLOS ","CARGA SUELTA","23-16-3010-3004587","TAURUS","MANZANILLO","QUERETARO","FEDERICO","92AZ8D","CTA TERCEROS 1135","------------","ENTREGADO","16/12/2023","S 663","CI","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","3454848","CONTECON","21AX4Y","16/12/2023","12:00","20 DC / 37980","OOLU1463898/TRHU3441550","23-16-3957-3002534","LAVISA","MANZANILLO","QUERETARO","RAMON","64AK5A/31US5W. 59UP9N","1136-2","CIMA ","ENTREGADO","18/12/2023","S 662","CCP 240","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","WOODWARD","638718V","TIMSA","38AV7C","18/12/2023","6:00","40 HC / 1940 KG / EMCPJU7023","DRYU9788431","23-16-3719-3029021","PANASONIC","MANZANILLO","MONTERREY","PABLO","38AV7C / 10UL5N","1137","CIMA ASIPONA","ENTREGADO","19/12/2023","S 667","CCP 241","","","","","","","","","","","","","","",""
"","REAL SHIPPING - JORGE CRUZ","GTS","4280242","FRIMAN","26AR7M","18/12/2023","14:00","8 PALLETS /2,220 KG ","CARGA SUELTA","23-16-1681-3004245","FAURECIA TECH","MANZANILLO","SILAO , GTO","MARTIN LOZA","26AR7M","CTA TERCEROS 1138","------","ENTREGADO","19/12/2023","S 669","CI","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","WOODWARD","638719V","TIMSA","21AX4Y","19/12/2023","14:00","40 HC / 1930 KG / EMCPJU1123","EITU1945900","23-16-3719-3029022","PANASONIC","MANZANILLO","MONTERREY","DANIEL ","21AX4Y / 63UM9E","1139","CIMA ASIPONA","ENTREGADO","20/12/2023","S 668","CCP 242","","","","","","","","","","","","","","",""
"","ALAN ARANGO","-------","-----","ACCESSA","FE9713A","20/12/2023","15:00"," 13 CARTONES / 134.694 KG /","CARGA SUELTA","REF: S00012664","YAZAKI","MANZANILLO","SILAO ,GTO","JOSE","FE9713A","1140","------","ENTREGADO","21/12/2023","S 671","CCP 243","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","4285414","OCUPA","64AK5A","20/12/2023","5:00","20 DC / 22808.5 KG - 22522 KG ","WHLU0613791/WHLU0699769","23-16-3957-3002411","LAVISA","MANZANILLO","GUADALAJARA","PABLO","38AV7C","1144-2","OCUPA / OCUPA","ENTREGADO","22/12/2023","(S 672 ) 674/ 675","CCP 245","","","","","","","","","","","","","","",""
"","SLA","WELLDEX","735084","LA JUNTA","26AR7M","21/12/2023","8:00","8 PALLETS / 5212 KG ","CARGA SUELTA","23-16-3200-3021386","ITT TECHNOLOGIES MEX","MANZANILLO","SILAO, GTO","ARIEL ORTIZ","26AR7M","CTA TERCEROS 1141","------","ENTREGADO","22/12/2023","S 673","CI","","","","","","","","","","","","","","",""
""," SKYLINE LOGISTIC","CARLOS TORRES","65833B6670C3E","HAZESA ","92AZ8D","21/12/2023","11:00","3 PALLETS / 673 KG / BDE21931242-BDE21931243","CARGA SUELTA","23-16-3010-3004401","TAURUS","MANZANILLO","ARGO","ANTONIO FRANCO","92AZ8D"," CTA TERCEROS 1142","------","ENTREGADO","22/12/2023","S 670","Y","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","F249471","SSA","64AK5A","21/12/2023","12:00","20 DC - 17241.960 KG  / 40 DC - 21709.600 KG","TRHU3028607/TTNU5998008","23-16-3957-3002642","PLASTIGLAS","MANZANILLO","SAN LUIS POTOSI","RAMON","64AK5A/ 31US5W-59UP9N","1143-2","CIMA ASIPONA","ENTREGADO","26/12/2023","S 676","CCP 244","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","F249856","SSA","21AX4Y","22/12/2023","12:00","20 DC / 23463.400 KG / 23610.600 KG","PONU0066127/MSKU5410750","23-16-3957-3002292/3957-3002291","LAVISA","MANZANILLO","GUADALAJARA","PABLO","38AV7C/ 63UM9E-10UL5N","1145-2","CIMA ASIPONA","ENTREGADO","26/12/2023","S 677 /  678","CCP 246","","","","","","","","","","","","","","",""
"","ALAN ARANGO","-----------------","-------------","EZ. HOLDING","30BA6K","23/12/2023","8:00","1 PALLET / 148 KG","CARGA SUELTA","REF: S00012714","YAZAKI","LAZARO C","CD. JUAREZ,CHH","LUIS GAMEZ","30BA6K","CTA PORTE 03","------","ENTREGADO","26/12/2023","s 682","CCP 247","","","","","","","","","","","","","","",""
"","ALAN ARANGO","-----------------","--------------","EZ. HOLDING","39AH1M","27/12/2023","11:00","7 PALLETS / 2036.37 KG","CARGA SUELTA","REF: S00012723","YAZAKI","LAZARO C","CD . JUAREZ","RICARDO DIAZ","39AH1M","CTA TERCEROS 04","------","ENTREGADO","27/12/2023","S 685","CI","","","","","","","","","","","","","","",""
"","ALAN ARANGO","-----------------","--------------","EZ. HOLDING","99111","27/12/2023","11:00","1 PALLET / 165 KG","CARGA SUELTA","REF: S00012722","YAZAKI","LAZARO C","MONTERREY","ANTONIO FRANCO","92AZ8D","CTA TERCEROS 05","------","ENTREGADO","27/12/2023","S 686","CI","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","8708712","SSA","FE9713A","26/12/2023","7:00","1 PALLET / 170 KG","CARGA SUELTA","23-16-3708-3001547","ARGO","MANZANILLO","QUERETARO","DANIEL","21AX4Y","1146-1","------","ENTREGADO","29/12/2023","S 679","NA","","","","","","","","","","","","","","",""
"","ALAN ARANGO","-----------------","--------------","ACCESSA","26AR7M","28/12/2023","12:00","9 PALLETS / 3465 KG","CARGA SUELTA","REF: S00012736","YAZAKI","MANZANILLO","DURANGO","ARIEL ORTIZ","26AR7M","CTA TERCEROS 1149","-------","ENTREGADO","02/01/2024","S 687 / 688","CI","","","","","","","","","","","","","","",""
"","ALAN ARANGO","-----------------","--------------","ACCESSA","02AL2W","28/12/2023","12:00","10 PALLETS / 4982.8 KG","CARGA SUELTA","REF: S00012736","YAZAKI","MANZANILLO","DURANGO","MARTIN LOZA","02AL2W","CTA TERCEROS 1150","-------","ENTREGADO","02/01/2024","S 687 / 688","CI","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","","OCUPA","21AX4Y","28/12/2023","11:00","20 DC / 4554 KG/ BDE21965104","PCIU0185096","23-16-3708-3001548","ARGO","MANZANILLO","QUERETARO","DANIEL","21AX4Y/ 10UL5N","1146-2","IMPALA","ENTREGADO","29/12/2023","S 680","CCP 248","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","","TIMSA","38AV7C","28/12/2023","13.00","40 HC / 13609.600 KG","CSLU6335581","23-16-3957-3002527","APL . METALURGICAS","MANZANILLO","GUADALAJARA","PABLO","19BD1B/21UN5D","1147","CIMA PRINCIPAL","ENTREGADO","29/12/2023","S 689","CCP 251","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - ADRIANA","WELLDEX","","TIMSA","64AK5A","28/12/2023","5:00","20 DC / 40 HC- 29669.760","EGHU3559865/TGBU8624924","23-16-3200-3021821","KARCHER","MANZANILLO","MONTERREY","LUIS GAMEZ","38AV7C/ 31US5W-63UM9E","1148-2","CIMA - TEP","ENTREGADO","02/01/2024","S 683 / 684","CCP 249 /  250","","","","","","","","","","","","","","",""
"","SKYLINE LOGISTIC","CARLOS TORRES","89111","MULTIMODAL","30BA6K","29/12/2023","13:00","1 PALLET / 315 KG ","CARGA SUELTA","23-16-3010-3004263","TAURUS","MANZANILLO","QUERETARO","RAMON","30BA6K","1152","------","ENTREGADO","30/12/2023","S 690","CCP 252","","","","","","","","","","","","","","",""
"","LAURA CRUZ - REAL SHIPPING","GTS","8710811","SSA","84BA1K","29/12/2023","6:00","3 BULTOS / 819.540 KG","CARGA SUELTA","23-16-1681-3004280","FAURECIA TECH","MANZANILLO","SILAO , GTO","JORGE SOTELO","84BA1K","CTA TERCEROS 1151","------","ENTREGADO","02/01/2024","S 692","CI","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","876246","SSA","72AR8M","30/12/2023","7:00","5 BULTOS / 3495 KG / BDE21965524","CARGA SUELTA","23-16-3708-3001549","ARGO","MANZANILLO","QUERETARO","CESAR TENO","72AR8M","CTA TERCEROS 1153","------","ENTREGADO","02/01/2024","S 681","CI","","","","","","","","","","","","","","",""
"","LAURA CRUZ - REAL SHIPPING","GTS","8711027","SSA","30BA6K","02/01/2024","6:00"," 2 BULTOS / 578.040 KG ","CARGA SUELTA","23-16-1681-3004307","FAURECIA TECH","MANZANILLO","SILAO , GTO","FERNANDO","30BA6K","1154","------","ENTREGADO","03/01/2024","S 693","CCP 254","","","","","","","","","","","","","","",""
"","ALAN ARANGO","-----------------","-------------","ACCESSA","19BD1B","02/01/2024","16:00","15 PALLETS / 7549 KG","CARGA SUELTA","REF:S00012735","YAZAKI","MANZANILLO","CD. JUAREZ,CHH","PABLO","19BD1B","1155","------","ENTREGADO","03/01/2024","S 694","CCP 255","","","","","","","","","","","","","","",""
"","VAIMA","GRUPO ADUANAL ZARAGOZA","781973C","SSA","21AX4Y","03/01/2024","5:00","20 DC / 6680 KG /CEM210782553","UACU3789116","23-16-3983-3000755","------","MANZANILLO","MEXICO","DANIEL","21AX4Y","1156","SSA","ENTREGADO","04/01/2024","S 691","CCP 256","","","","","","","","","","","","","","",""
"","EXIMICS","SERV ADUANALES ALFA Y OMEGA","3479683","CONTECON","64AK5A","05/01/2024","14:00","40 HC / 20520 KG - 20520 KG / 2 SELLOS","CSNU7756242/CSNU6604081","24-16-3132-4000223/3132-4000218","","MANZANILLO","GUADALAJARA","RAMON","64AK5A/59UP9N-22UN5D","1157-2","CIMA","ENTREGADO","06/01/2024","S 695","CCP 257","","","","","","","","","","","","","","",""
"","SKYLINE LOGISTIC","CARLOS TORRES","8725510","SSA","30BA6K","06/01/2024","11:00","5 PALLETS / 1150 KG / 2 SELLOS","CARGA SUELTA","24-16-3010-4000123","TAURUS","MANZANILLO","QUERETARO","FERNANDO","30BA6K","1159","........","ENTREGADO","08/01/2024","S 696","CCP 258","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - ADRIANA","PEDRO MARTINEZ","4342583","FRIMAN","38AV7C","06/01/2024","13:00","15 PALLETS / 6189 KG","CARGA SUELTA","24-16-3957-4000045","INGERSOLL","MANZANILLO","MONTERREY","LUIS GAMEZ","38AV7C/31US5W","1158","........","ENTREGADO","08/01/2024","S 698","CCP 259","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","4348134","OCUPA","19BD1B","09/01/2024","9:00","20 DC / 19529 KG - 19343 KG ","OCGU2093160/WHSU2249200","24-16-3957-4000003","LAVISA","MANZANILLO","QUERETARO","PABLO","19BD1B/21UN5D-22UN5D","1160-2","OCUPA","ENTREGADO","10/01/2024","S 699","CCP 260","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - DANIELA","NAD INTERNATIONAL","3485766","CONTECON","21AX4Y","10/01/2024","11:00","40 HC // 17592.930 KGS","FCIU9676906","24 -16-3949-4011133","NAVISTAR","MANZANILLO","MONTERREY","RAMON","64AK5A/10UL5N,59UP9N","R-1161","CIMA","ENTREGADO","11/01/2024","S 702","CCP 261/ CCP 266","","","","","","","","","","","","","","",""
"","CARLOS - ONEBOX","WOODWARD","3486967","CONTECON","64AK5A","10/01/2024","7:00","2150 KGS","TGHU6936843","24-16-3719‐4001685","PANASONIC","MANZANILLO","MONTERREY","RAMON","64AK5A/10UL5N,59UP9N","R-1161-2","CIMA","ENTREGADO","11/01/2024","S 703","CCP 262/ CCP 267","","","","","","","","","","","","","","",""
"","WELLIGTON - FELIPE","ROBEJOMA","644404V","TIMSA","38AV7C","10/01/2024","5:00","20 DC / 4212 KG","PCIU1204349","24-16-3708-4000124","ARGO","MANZANILLO","QUERETARO","DANIEL","21AX4Y /16UP6N","A-1162","IMPALA","ENTREGADO","11/01/2024","S 704","CCP 263","","","","","","","","","","","","","","",""
"","WELLINGTON- FELIPE","ROBEJOMA","644406V","TIMSA","387CG6","11/01/2024","15:00","2361 KG","TCLU3337380","24-16-3708-4000120","ARGO","MANZANILLO","QUERETARO","LUIS","38AV7C/75UT5W","C-1165","CIMA","ENTREGADO","12/01/2024","S 700","CCP 269","","","","","","","","","","","","","","",""
"","PRIMO - RENE","SAPI","3481474#2","TIMSA","38AV7C","11/01/2024","7:00","40 DC / 16800 KG ","TCNU1601594/TRHU6922380","21-16-3009-4002262","COMMSCOPE","MANZANILLO","QUERETARO","PABLO","19BD1B/21UN5D-22UN5D","A-1164","ISL","ENTREGADO","12/01/2024","S 701","CCP 268","","","","","","","","","","","","","","",""
"","ALAN ARANGO","-----------------","---------","ACCESSA","48AP9D","11/01/2024","15:00","8 PALLETS/3578 KG","CARGA SUELTA","R-S00012863","YAZAKI","MANZANILLO","DURANGO","EDS AGUSTIN ARAGON ","48AP9D","CTA TERCEROS B-1163","------","ENTREGADO","12/01/2024","S 705","CI","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - ADRIANA","WELLDEX","801809C","SSA","21AX4Y","13/01/2024","7:00","40 HC / 19001 KG"," MRKU2665251","24-16-3200-4001014","KARCHER","MANZANILLO","MONTERREY","DANIEL","21AX4Y/21UN5D","A-1169","ALSECONT","ENTREGADO","15/01/2024","S 715","CCP 270 / CCP 272","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - ADRIANA","WELLDEX","801614C","SSA","19BD1B","13/01/2024","7:00","40 HC / 15182 KG","HASU5055384","24-16-3200-4000965","KARCHER","MANZANILLO","MONTERREY","LUIS","38AV7C/22UN5D,75UT5W","I-1170","ALSECONT","ENTREGADO","15/01/2024","CCP 264 / S 713","CCP 273","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - ADRIANA","WELLDEX","644944V","TIMSA","38AV7C","13/01/2024","9:00","40 HC/ 5002KG","EITU1255165","24-16-3200-4000770","KARCHER","MANZANILLO","MONTERREY","LUIS","38AV7C/22UN5D,75UT5W","N-1170-2","TEP","ENTREGADO","15/01/2024","S 714","CCP 265 / CCP 274","","","","","","","","","","","","","","",""
"","ALAN ARANGO","--------","---------","------","","","","","CARGA SUELTA","R-S00012888","YAZAKI","LZO CARDENAS","LZO CARDENAS","LOCAL","------","-----","------","ENTREGADO","","S 711","N/A","","","","","","","","","","","","","","",""
"","ALAN ARANGO","---------","---------","------","85AY7X","12/01/2024","------","3320 KG","CARGA SUELTAS",">>>>>>>>","YAZAKI","LZO CARDENAS","MONTERREY","SANTIAGO COLIN","73AU6X/21UT1H","CTA TERCEROS F-LZR06","------","ENTREGADO","15/01/2024","S 709","CI","","","","","","","","","","","","","","",""
"","ALAN ARANGO","---------","---------","------","11AZ7X","12/01/2024","------","6591 KG","CARGA SUELTAS","R-S00012885","YAZAKI","LZO CARDENAS","JUAREZ","IVAN GUARDIAN","11AZ7X/06UR4W","CTA TERCEROS R-LCR07","------","ENTREGADO","15/01/2024","S 710","CI","","","","","","","","","","","","","","",""
"","ALAN ARANGO","---------","---------","------","30BA6K","12/01/2024","------","748 KG","CARGA SUELTAS","R-S00012886","YAZAKI","LZO CARDENAS","TUXTLA","FERNANDO","30BA6K","A-LCR08","-------","ENTREGADO","15/01/2024","S 712","CCP 271","","","","","","","","","","","","","","",""
"","ALAN ARANGO","---------","---------","ACCESSA","26AR7M","12/01/2024","12:00","3059 KG","CARGA SUELTAS","R-24010453","YAZAKI","MANZANILLO","OBREGON","ARIEL ORTIZ GODINEZ","26AR7M","CTA TERCEROS O-1166 ","-------","ENTREGADO","15/01/2024","S 706","CI","","","","","","","","","","","","","","",""
"","ALAN ARANGO","---------","---------","ACCESSA","92AZ8D","12/01/2024","12:00","1754 KG","CARGA SUELTAS","R-S00012874","YAZAKI","MANZANILLO","JUAREZ","ANTONIO","92AZ8D","CTA TERCEROS N-1167","-------","ENTREGADO","15/01/2024","S 707","CI","","","","","","","","","","","","","","",""
